Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
CTSI/USDT:USDT,-16.821285714285715,-19.815658445655053
HNT/USDT:USDT,43.9095,30.903944115798986
OGN/USDT:USDT,-40.97385714285714,10.817289828199952
YGG/USDT:USDT,11.492285714285714,11.619676991247447
ARPA/USDT:USDT,9.641214285714286,13.529965368069755
ID/USDT:USDT,6.345785714285715,11.920581909149108
BSV/USDT:USDT,9.625571428571428,8.81155473054004
ZEN/USDT:USDT,10.7675,8.249986938427753
LUNC/USDT:USDT,-2.1535000000000006,8.46211992467915
PENDLE/USDT:USDT,32.14085714285715,31.33488527083307
AGLD/USDT:USDT,9.750714285714288,9.51928340092025
SHIB/USDT:USDT,31.092785714285714,33.17169268245928
MAGIC/USDT:USDT,-19.339785714285714,17.247607944123967
STG/USDT:USDT,7.670214285714286,9.031112487118305
WOO/USDT:USDT,8.175999999999998,10.535725406452727
ZRX/USDT:USDT,9.140642857142858,11.536779528800949
